Model,Top-1 Accuracy,Top-5 Accuracy,Precision,Recall,F1 Score,Predict Time (s)
rf,0.9991500934897162,0.9994900560938297,0.9991506371513474,0.9991500934897162,0.999149614121778,0.4755897521972656
tree,0.9915009348971613,0.8532206357300697,0.9916115748696275,0.9915009348971613,0.991515671905622,0.20479965209960938
lr,0.49175590685024645,0.6131225565187829,0.4860978336783904,0.49175590685024645,0.4726436363651741,0.17587852478027344
nb,0.40770015298317186,0.5885602583715791,0.4472488426960931,0.40770015298317186,0.41455878355120934,0.1724245548248291
